Round ,Team,Total Kicks,Handballs,Disposals,Marks,Hit-outs,Frees For,Frees Against,Goals,Behinds,Total Points,AFL Fantasy,Opponent,Win/Loss,
1,Adelaide Crows,142,107,249,41,34,18,21,11,5,71,1047,Sydney Swans,0,
1,Brisbane Lions,184,103,287,68,22,15,20,9,8,62,1200,Hawthorn,0,
1,Carlton,189,114,303,69,26,24,18,12,9,81,1170,Richmond,0,
1,Collingwood,191,161,352,94,44,19,12,13,8,86,1486,Western Bulldogs,1,
1,Essendon,192,147,339,98,29,17,11,9,9,63,1470,Fremantle,1,
1,Fremantle,166,120,286,79,30,11,17,8,9,57,1153,Essendon,0,
1,GWS Giants,167,91,258,64,32,24,15,17,3,105,1162,Geelong Cats,1,
1,Geelong Cats,176,98,274,83,28,15,24,11,7,73,1133,GWS Giants,0,
1,Gold Coast Suns,173,123,296,59,34,14,17,4,5,29,1129,Port Adelaide,0,
1,Hawthorn,187,111,298,73,33,20,15,14,6,90,1303,Brisbane Lions,1,
1,Melbourne,177,141,318,80,19,11,9,7,9,51,1222,West Coast Eagles,0,
1,North Melbourne,155,119,274,51,28,20,17,8,8,56,1112,St Kilda,1,
1,Port Adelaide,219,138,357,90,31,17,14,10,16,76,1522,Gold Coast Suns,1,
1,Richmond,155,122,277,57,41,18,24,16,9,105,1179,Carlton,1,
1,St Kilda,167,133,300,51,26,17,20,7,12,54,1244,North Melbourne,0,
1,Sydney Swans,200,113,313,68,34,21,18,11,8,74,1357,Adelaide Crows,1,
1,West Coast Eagles,215,108,323,119,31,9,11,12,6,78,1442,Melbourne,1,
1,Western Bulldogs,163,119,282,77,15,12,19,5,4,34,1130,Collingwood,0,
2,Adelaide Crows,138,121,259,39,30,14,17,5,5,35,980,Port Adelaide,0,
2,Brisbane Lions,182,127,309,72,37,12,19,12,9,81,1287,Fremantle,1,
2,Carlton,183,96,279,73,26,13,18,7,11,53,1162,Melbourne,0,
2,Collingwood,186,147,333,81,37,14,15,5,6,36,1251,Richmond,1,
2,Essendon,163,134,297,50,30,13,25,12,7,79,1149,Sydney Swans,1,
2,Fremantle,170,125,295,60,21,19,12,10,9,69,1174,Brisbane Lions,0,
2,GWS Giants,142,117,259,43,35,10,22,8,12,60,1082,North Melbourne,0,
2,Geelong Cats,201,139,340,78,34,22,15,17,6,108,1416,Hawthorn,1,
2,Gold Coast Suns,207,130,337,68,28,16,16,14,6,90,1323,West Coast Eagles,1,
2,Hawthorn,146,104,250,49,33,15,22,7,5,47,1044,Geelong Cats,0,
2,Melbourne,173,134,307,69,34,18,13,8,6,54,1261,Carlton,1,
2,North Melbourne,174,147,321,60,51,22,10,12,8,80,1345,GWS Giants,1,
2,Port Adelaide,226,137,363,105,40,17,14,17,8,110,1632,Adelaide Crows,1,
2,Richmond,177,104,281,74,24,15,14,5,6,36,1270,Collingwood,1,
2,St Kilda,204,132,336,92,49,21,15,14,4,88,1492,Western Bulldogs,1,
2,Sydney Swans,188,123,311,76,34,25,13,11,7,73,1338,Essendon,0,
